Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,1n,
"C10, C11, C15, C16, C5",0805,5,100n,
C12,CP_Radial_D5.0mm_P2.50mm,1,1u,
C13,0805,1,22n,
"C17, C8, C9",CP_Radial_D5.0mm_P2.50mm,3,10u,
"C2, C3, C6, C7",0805,4,10n,
C4,0805,1,100nF,
"D1, D2, D3",D_SOD-123,3,4148,
"J1, J11, J2, J3, J4, J5, J6, J7, J8, J9",SWITCHCRAFT_MDPC2A,10,MDPC2A,
J10,PinHeader_2x08_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,24K,
"R10, R11, R37",0805,3,1M,
"R12, R13, R30, R31, R32, R33, R39",0805,7,1K,
"R14, R29",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,100K,
"R15, R21, R25",0805,3,240K,
"R16, R20, R26",0805,3,91K,
"R17, R18, R19, R22, R24, R27, R34, R35, R41",0805,9,100K,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,470,
R23,0805,1,180K,
"R28, R5",0805,2,470,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,5.6K,
R36,0805,1,200K,
R38,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10M,
"R4, R9",0805,2,1.5M,
R40,0805,1,33K,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1.8K,
R7,0805,1,220K,
R8,0805,1,47K,
"RV1, RV2, RV5, RV6",Potentiometer_Bourns_3296W_Vertical,4,10K,
RV3,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,1,10K,
"RV4, RV7",Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,2,100K,
S1,SW_100SP1T1B4M2QE,1,100SP1T1B4M2QE,
"T1, T2",SOT-23-3,2,MMBFJ201,
U1,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,AS3345F,
U2,SOIC127P600X175-14N,1,TL074IDR,
U3,TO-252-2,1,LP2950-5.0_TO252,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,L79L05_SO8,
U5,SOIC127P600X175-14N,1,CD4013BM,
U6,SOIC127P599X175-8N,1,TL072IDR,
